Condo Name,District,Date Posted,Agent Id,Price,Beds,Bathrooms,Sq Feet,Sq Meter
Centro Residences ,D20,"18 Mar, 2014",288770,"SGD 3,800 (Guide Price)",2,3,872 sqft,81 sqm
Ebony Mansions ,D15,"18 Mar, 2014",290267,"SGD 3,200 ",3,0,"1,150 sqft",107 sqm
Baywater ,D16,"18 Mar, 2014",282852,"SGD 3,800 ",3,0,"1,302 sqft",121 sqm
Mabelle ,D15,"18 Mar, 2014",309621,"SGD 3,200 (Negotiable)",2,1,732 sqft,68 sqm
Queensway tower ,D03,"18 Mar, 2014",307753,"SGD 3,400 ",3,0,"1,600 sqft",149 sqm
The Waterina ,D14,"18 Mar, 2014",197980,"SGD 3,000 (Guide Price)",1,0,720 sqft,67 sqm
Villa Marina ,D15,"18 Mar, 2014",318801,"SGD 6,200 (Negotiable)",3,4,"2,013 sqft",187 sqm
Ferraria Park ,D17,"18 Mar, 2014",291329,"SGD 2,800 (Offers in Excess of)",2,2,"1,023 sqft",96 sqm
Ventura Heights ,D09,"18 Mar, 2014",324304,"SGD 9,500 (Negotiable)",5,5,"4,661 sqft",433 sqm
Burlington Square ,D07,"18 Mar, 2014",281020,"SGD 4,000 ",2,2,840 sqft,78 sqm
Chestervale ,D23,"18 Mar, 2014",324304,"SGD 2,800 (Negotiable)",3,0,"1,259 sqft",117 sqm
Waterfront Waves ,D16,"17 Mar, 2014",294914,"SGD 7,000 (View to offer)",4,4,"2,992 sqft",278 sqm
600m to Dakota MRT Station ,D14,"17 Mar, 2014",312748,"SGD 2,500 ",1,1,430 sqft,40 sqm
Loft@Nathan ,D10,"17 Mar, 2014",279550,"SGD 5,000 (Guide Price)",2,2,990 sqft,92 sqm
Lavender Studio ,D07,"17 Mar, 2014",,"SGD 1,500 (Offers in Excess of)",1,1,250 sqft,23 sqm
Loft@Nathan ,D10,"17 Mar, 2014",279550,"SGD 5,100 (Negotiable)",2,2,990 sqft,92 sqm
Spottiswoode Residences ,D02,"17 Mar, 2014",306397,"SGD 3,600 (Negotiable)",1,1,603 sqft,56 sqm
The Orchard Residences ,D09,"17 Mar, 2014",309013,"SGD 25,000 (Negotiable)",4,5,"2,852 sqft",265 sqm
Cote D'Azur ,D15,"17 Mar, 2014",290267,"SGD 5,988 ",4,0,"1,590 sqft",148 sqm
Astoria Park ,D14,"17 Mar, 2014",288346,"SGD 3,500 (Negotiable)",2,2,950 sqft,88 sqm
Chestervale ,D23,"17 Mar, 2014",324304,"SGD 3,000 (Negotiable)",3,0,"1,410 sqft",131 sqm
Orchard Scotts ,D09,"16 Mar, 2014",172649,"SGD 8,999 (Offers in Excess of)",3,0,"1,625 sqft",151 sqm
Regency Suites ,D03,"16 Mar, 2014",289549,"SGD 5,400 (Guide Price)",2,2,980 sqft,91 sqm
Soho 188 ,D08,"16 Mar, 2014",281618,"SGD 2,500 (Negotiable)",1,0,441 sqft,41 sqm
Tanjong Ria Condo ,D15,"15 Mar, 2014",323459,"SGD 4,800 ",3,0,"1,399 sqft",130 sqm
THE FORESTA @ MOUNT FABER ,D04 ,"13 Mar, 2014",291497,"SGD 4,700 (Guide Price)",2,0,828 sqft,77 sqm
Spottiswoode Residences ,D02,"13 Mar, 2014",302305,"SGD 3,500 (Negotiable)",1,1,624 sqft,58 sqm
The Merlot ,D08,"12 Mar, 2014",,"SGD 2,400 (Fixed)",1,1,400 sqft,37 sqm
Dahlia Park ,D17,"11 Mar, 2014",332439,"SGD 2,900 (Negotiable)",2,2,"1,098 sqft",102 sqm
Ardmore Residence ,D10,"17 Mar, 2014",316368,"SGD 19,000 ",4,4,"3,186 sqft",296 sqm
Ardmore Residence ,D10,"17 Mar, 2014",316368,"SGD 28,000 ",4,4,"3,186 sqft",296 sqm
The Colonnade ,D10,"16 Mar, 2014",333079,"SGD 15,700 ",3,3,"3,600 sqft",334 sqm
The Colonnade ,D10,"16 Mar, 2014",333079,"SGD 16,400 ",4,4,"4,000 sqft",372 sqm
The Colonnade ,D10,"16 Mar, 2014",333079,"SGD 11,300 ",2,2,"2,800 sqft",260 sqm
The Colonnade ,D10,"16 Mar, 2014",333079,"SGD 16,300 ",3,3,"3,600 sqft",334 sqm
Laurels ,D09,"18 Mar, 2014",300184,"SGD 5,499 (Negotiable)",2,2,883 sqft,82 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 5,000 ",3,0,"1,076 sqft",100 sqm
The Bayshore ,D16,"18 Mar, 2014",294914,"SGD 3,200 ",2,0,980 sqft,92 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,800 (Guide Price)",2,0,600 sqft,56 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 4,000 ",2,0,830 sqft,77 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,300 ",2,0,535 sqft,50 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,000 ",1,1,400 sqft,37 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,200 (Guide Price)",1,1,388 sqft,36 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,300 (Guide Price)",1,1,400 sqft,37 sqm
The Laurels @ Cairnhill ,D09,"18 Mar, 2014",300184,"SGD 4,499 (Negotiable)",2,2,883 sqft,82 sqm
Ferraria Park ,D17,"18 Mar, 2014",312347,"SGD 3,300 (Negotiable)",2,2,"1,066 sqft",99 sqm
Alessandrea ,D03,"18 Mar, 2014",312347,"SGD 5,800 ",3,0,"2,000 sqft",186 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,900 (Guide Price)",2,0,"1,000 sqft",93 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,800 ",2,0,603 sqft,56 sqm
The Clift ,D01,"18 Mar, 2014",300184,"SGD 5,700 (Negotiable)",1,1,829 sqft,77 sqm
Parc Palais ,D23,"18 Mar, 2014",284577,"SGD 3,800 (Negotiable)",4,4,"1,484 sqft",138 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 3,900 (Guide Price)",2,2,"1,050 sqft",98 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 4,500 (Negotiable)",3,0,786 sqft,73 sqm
Alexis ,D03,"18 Mar, 2014",312347,"SGD 4,800 (Negotiable)",3,0,"1,100 sqft",102 sqm
The Clift ,D01,"18 Mar, 2014",300184,"SGD 5,599 (Negotiable)",1,1,786 sqft,73 sqm
The Clift ,D01,"18 Mar, 2014",300184,"SGD 5,600 (Negotiable)",1,1,775 sqft,72 sqm
Cube 8 ,D11,"18 Mar, 2014",305370,"SGD 5,200 ",3,3,"1,335 sqft",124 sqm
Vista Residences ,D12,"18 Mar, 2014",305370,"SGD 5,800 (Guide Price)",4,4,"1,410 sqft",131 sqm
Cube 8 ,D11,"18 Mar, 2014",305370,"SGD 6,000 ",3,0,"1,475 sqft",137 sqm
Rosewood Suites ,D25,"18 Mar, 2014",288837,"SGD 4,000 ",3,3,"1,550 sqft",144 sqm
Cube 8 ,D11,"18 Mar, 2014",305370,"SGD 3,500 (Offers in Excess of)",1,0,560 sqft,52 sqm
Casabella ,D10,"18 Mar, 2014",295500,"SGD 4,000 ",2,2,990 sqft,92 sqm
STARVILLE ,D15,"18 Mar, 2014",284193,"SGD 4,500 (Offers in Excess of)",4,4,"2,164 sqft",201 sqm
The Interlace ,D04,"18 Mar, 2014",294914,"SGD 4,100 ",2,0,"1,000 sqft",93 sqm
Vista Residences ,D12,"18 Mar, 2014",305370,"SGD 4,600 (Offers in Excess of)",3,3,"1,173 sqft",109 sqm
Prestige Heights ,D12,"18 Mar, 2014",288837,"SGD 2,400 (Guide Price)",1,1,388 sqft,37 sqm
Bayshore Park ,D16,"18 Mar, 2014",294914,"SGD 8,000 (Offers in Excess of)",5,5,"3,500 sqft",326 sqm
East Meadows ,D16,"18 Mar, 2014",294914,"SGD 4,000 (Offers in Excess of)",3,0,"1,250 sqft",117 sqm
Savannah Condopark ,D18,"18 Mar, 2014",295500,"SGD 3,900 ",3,4,"1,453 sqft",135 sqm
Costa Rhu ,D15,"18 Mar, 2014",285701,"SGD 8,500 ",4,2,"2,088 sqft",194 sqm
Este Villa ,D28,"18 Mar, 2014",285701,"SGD 7,500 ",5,2,"3,500 sqft",325 sqm
Meyer Residence ,D15,"18 Mar, 2014",294914,"SGD 4,600 (Offers in Excess of)",3,0,"1,152 sqft",108 sqm
Amber Glades ,D15,"18 Mar, 2014",314186,"SGD 4,300 (Price on Ask)",3,2,"1,087 sqft",101 sqm
International Plaza ,D02,"18 Mar, 2014",285701,"SGD 3,000 ",1,1,480 sqft,45 sqm
Parc Mondrian ,D13,"18 Mar, 2014",305370,"SGD 3,900 (Negotiable)",2,2,936 sqft,87 sqm
Parc Mondrian ,D13,"18 Mar, 2014",305370,"SGD 4,000 (Fixed)",3,3,"1,356 sqft",126 sqm
Vista Residences ,D12,"18 Mar, 2014",305370,"SGD 3,300 (Guide Price)",1,1,646 sqft,60 sqm
Cavenagh Lodge ,D09,"18 Mar, 2014",314186,"SGD 5,200 (Price on Ask)",3,2,"1,353 sqft",126 sqm
Centro Residences ,next to AMK MRT,"18 Mar, 2014",314186,"SGD 8,600 (Price on Ask)",4,3,"2,390 sqft",222 sqm
Casa Pasir Ris ,D17,"18 Mar, 2014",295500,"SGD 2,600 (Guide Price)",3,2,"1,216 sqft",113 sqm
Orchard ,D09,"18 Mar, 2014",300184,"SGD 5,499 (Negotiable)",2,2,883 sqft,82 sqm
